country,year,pop,continent,lifeExp,gdpPercap
Albania,1982,2780097.0,Europe,70.42,3630.880722
Albania,1987,3075321.0,Europe,72.0,3738.932735
Albania,1992,3326498.0,Europe,71.581,2497.437901
Albania,1997,3428038.0,Europe,72.95,3193.054604
Albania,2002,3508512.0,Europe,75.651,4604.211737
Albania,2007,3600523.0,Europe,76.423,5937.029526
Algeria,2002,31287142.0,Africa,70.994,5288.040382
Algeria,2007,33333216.0,Africa,72.301,6223.367465
Argentina,1987,31620918.0,Americas,70.774,9139.671389
Argentina,1992,33958947.0,Americas,71.868,9308.41871
Argentina,1997,36203463.0,Americas,73.275,10967.28195
Argentina,2002,38331121.0,Americas,74.34,8797.640716
Argentina,2007,40301927.0,Americas,75.32,12779.37964
Australia,1957,9712569.0,Oceania,70.33,10949.64959
Australia,1962,10794968.0,Oceania,70.93,12217.22686
Australia,1967,11872264.0,Oceania,71.1,14526.12465
Australia,1972,13177000.0,Oceania,71.93,16788.62948
Australia,1977,14074100.0,Oceania,73.49,18334.19751
Australia,1982,15184200.0,Oceania,74.74,19477.00928
Australia,1987,16257249.0,Oceania,76.32,21888.88903
Australia,1992,17481977.0,Oceania,77.56,23424.76683
Australia,1997,18565243.0,Oceania,78.83,26997.93657
Australia,2002,19546792.0,Oceania,80.37,30687.75473
Australia,2007,20434176.0,Oceania,81.235,34435.36744
Austria,1967,7376998.0,Europe,70.14,12834.6024
Austria,1972,7544201.0,Europe,70.63,16661.6256
Austria,1977,7568430.0,Europe,72.17,19749.4223
Austria,1982,7574613.0,Europe,73.18,21597.08362
Austria,1987,7578903.0,Europe,74.94,23687.82607
Austria,1992,7914969.0,Europe,76.04,27042.01868
Austria,1997,8069876.0,Europe,77.51,29095.92066
Austria,2002,8148312.0,Europe,78.98,32417.60769
Austria,2007,8199783.0,Europe,79.829,36126.4927
Bahrain,1987,454612.0,Asia,70.75,18524.02406
Bahrain,1992,529491.0,Asia,72.601,19035.57917
Bahrain,1997,598561.0,Asia,73.925,20292.01679
Bahrain,2002,656397.0,Asia,74.795,23403.55927
Bahrain,2007,708573.0,Asia,75.635,29796.04834
Belgium,1962,9218400.0,Europe,70.25,10991.20676
Belgium,1967,9556500.0,Europe,70.94,13149.04119
Belgium,1972,9709100.0,Europe,71.44,16672.14356
Belgium,1977,9821800.0,Europe,72.8,19117.97448
Belgium,1982,9856303.0,Europe,73.93,20979.84589
Belgium,1987,9870200.0,Europe,75.35,22525.56308
Belgium,1992,10045622.0,Europe,76.46,25575.57069
Belgium,1997,10199787.0,Europe,77.53,27561.19663
Belgium,2002,10311970.0,Europe,78.32,30485.88375
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
